,EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt,Label
140043,240043,150.332,38.886,82.302,129.933,0.537,38.4,0.49,2.486,3.604,219.975,1.983,1.358,0.072,30.848,-0.379,-2.082,61.167,-0.315,1.716,88.721,2.25,261.659,2,73.451,-1.018,-0.838,54.508,-0.481,-0.956,127.96,1
76661,176661,149.977,5.291,91.167,76.468,-999.0,-999.0,-999.0,2.148,24.908,185.285,0.51,1.138,-999.0,72.468,-0.539,2.492,36.957,-0.403,-1.647,40.602,-1.784,300.975,1,75.86,-0.308,0.113,-999.0,-999.0,-999.0,75.86,0
129209,229209,-999.0,76.564,43.713,6.754,-999.0,-999.0,-999.0,1.514,6.754,58.176,1.452,-1.412,-999.0,23.724,1.543,-1.543,34.452,0.433,-0.514,45.124,2.144,142.569,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0
246302,346302,90.654,4.632,46.071,182.538,0.183,43.365,3.259,1.325,76.214,266.547,2.253,1.068,0.0,23.561,0.619,-1.408,53.093,-0.19,-0.358,115.871,-0.417,384.219,3,80.78,-1.899,2.808,59.895,-1.716,-2.976,189.894,1
117474,217474,376.069,65.976,287.982,68.011,-999.0,-999.0,-999.0,3.968,5.504,168.988,0.878,-0.148,-999.0,51.145,-1.819,0.829,44.905,1.758,2.546,26.735,0.026,214.772,1,72.938,-0.017,-1.898,-999.0,-999.0,-999.0,72.938,0
186037,286037,120.011,0.321,70.224,38.146,-999.0,-999.0,-999.0,3.173,2.676,98.96,0.941,0.929,-999.0,31.831,-0.722,-0.292,29.966,-1.765,2.705,39.443,2.714,148.211,1,37.162,-0.113,-0.614,-999.0,-999.0,-999.0,37.162,1
21022,121022,99.464,60.196,60.936,2.857,-999.0,-999.0,-999.0,2.863,2.857,65.421,2.032,-1.349,-999.0,21.575,-1.633,1.822,43.846,-1.649,-1.041,21.074,2.381,92.146,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0
100452,200452,-999.0,85.052,61.18,0.982,-999.0,-999.0,-999.0,1.961,0.982,65.614,1.588,-1.385,-999.0,25.356,-0.695,-1.451,40.258,-1.946,0.06,48.698,2.637,91.508,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0
81522,181522,72.601,9.339,49.102,52.653,0.634,58.373,-0.029,2.019,2.698,123.086,1.353,0.58,0.96,21.049,1.041,-2.286,28.476,-0.332,2.517,22.215,2.143,129.944,2,38.925,-0.585,-1.143,34.635,0.049,0.398,73.561,0
122920,222920,100.824,58.131,63.817,153.67,3.447,454.964,-2.699,1.524,6.796,270.491,0.336,0.983,0.924,78.473,0.457,2.625,26.367,0.037,1.16,70.365,2.642,319.993,2,83.761,-1.203,-1.065,81.89,2.244,-0.205,165.651,1
88598,188598,80.717,40.944,40.593,183.631,2.003,415.451,-0.968,0.945,46.445,447.407,0.638,0.948,0.007,53.758,-1.763,0.96,34.32,-2.426,1.632,102.203,0.926,531.197,3,231.562,-1.19,-1.637,78.791,0.813,1.941,359.328,0
19639,119639,101.758,7.23,69.538,34.17,-999.0,-999.0,-999.0,3.34,2.231,91.273,1.64,1.406,-999.0,22.237,1.896,2.321,36.479,0.59,-0.889,19.908,-1.158,90.043,1,32.558,-1.372,2.099,-999.0,-999.0,-999.0,32.558,0
3157,103157,121.223,6.594,81.427,45.754,6.134,1211.906,-8.398,2.291,28.009,218.551,0.69,0.61,0.618,51.579,-1.775,0.717,35.584,-1.122,-1.479,22.636,-1.712,217.695,2,99.57,-2.062,2.421,31.818,4.072,-0.484,131.388,1
109046,209046,139.369,4.832,60.668,188.732,0.561,81.722,0.599,1.62,26.905,249.831,1.198,1.117,0.019,31.809,1.743,2.148,38.103,0.266,1.482,123.785,1.552,355.938,2,135.134,0.542,-1.602,44.785,1.104,-0.782,179.919,1
74975,174975,162.967,110.384,85.464,9.004,-999.0,-999.0,-999.0,2.784,9.004,93.751,2.474,-1.104,-999.0,26.986,-0.72,-2.423,66.765,-1.17,0.325,45.651,-2.864,237.743,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0
76301,176301,-999.0,83.164,63.013,5.259,-999.0,-999.0,-999.0,1.76,5.259,72.494,0.995,-1.412,-999.0,36.344,2.422,1.272,36.15,1.257,2.592,52.667,-1.166,143.372,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,1
129956,229956,-999.0,74.08,45.956,56.358,-999.0,-999.0,-999.0,1.336,3.92,130.15,0.561,-0.802,-999.0,49.317,0.278,2.625,27.653,0.486,-2.338,93.098,-0.702,147.792,1,53.18,-1.692,1.773,-999.0,-999.0,-999.0,53.18,0
56941,156941,87.243,65.819,65.852,5.02,-999.0,-999.0,-999.0,2.575,5.02,70.293,1.585,-1.343,-999.0,27.195,-1.324,-0.705,43.098,-1.444,3.007,26.388,0.305,141.709,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,1
219213,319213,74.959,10.68,56.549,26.459,-999.0,-999.0,-999.0,2.37,26.459,61.478,1.306,1.413,-999.0,26.662,-2.217,-0.122,34.816,-2.102,-2.489,2.246,-1.193,92.491,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,1
165418,265418,91.62,59.113,69.186,6.545,4.074,280.775,-3.102,2.279,21.024,146.395,0.816,-1.408,0.131,40.533,1.252,-0.041,33.086,1.878,2.151,40.817,-2.263,288.115,2,41.653,1.013,2.777,31.123,-3.061,0.244,72.776,0
